Date,Open,High,Low,Close,Adj Close,Volume
2004-08-19,50.050049,52.082081,48.028027,50.220219,50.220219,44659096
2004-08-20,50.555557,54.594597,50.300301,54.209209,54.209209,22834343
2004-08-23,55.430431,56.796799,54.579578,54.754753,54.754753,18256126
2004-08-24,55.675674,55.855858,51.836838,52.487488,52.487488,15247337
2004-08-25,52.532532,54.054054,51.991993,53.053055,53.053055,9188602
2004-08-26,52.527527,54.029030,52.382381,54.009010,54.009010,7094898
2004-08-27,54.104103,54.364365,52.897900,53.128128,53.128128,6211782
2004-08-30,52.692692,52.797798,51.056057,51.056057,51.056057,5196798
2004-08-31,51.201202,51.906906,51.131130,51.236237,51.236237,4917877
2004-09-01,51.401402,51.536537,49.884884,50.175175,50.175175,9138253
2004-09-02,49.644646,51.236237,49.519520,50.805805,50.805805,15118666
2004-09-03,50.525524,50.920921,49.709709,50.055054,50.055054,5152442
2004-09-07,50.555557,51.051052,49.854855,50.840839,50.840839,5847547
2004-09-08,50.420422,51.566566,50.300301,51.201202,51.201202,4985609
2004-09-09,51.316315,51.406406,50.550552,51.206207,51.206207,4061734
2004-09-10,50.850849,53.333332,50.700703,52.717716,52.717716,8698892
2004-09-13,53.368366,54.259258,53.283283,53.803802,53.803802,7844148
2004-09-14,53.778778,56.056057,53.448448,55.800800,55.800800,10828960
2004-09-15,55.335335,57.172173,55.155155,56.056057,56.056057,10713076
2004-09-16,56.226227,57.957958,55.880882,57.042042,57.042042,9266324
2004-09-17,57.267265,58.803802,56.831833,58.803802,58.803802,9472518
2004-09-20,58.533535,60.860863,58.443443,59.739738,59.739738,10628761
2004-09-21,59.964966,60.270271,58.813812,58.978977,58.978977,7228764
2004-09-22,58.758759,59.894894,58.463463,59.249249,59.249249,7581211
2004-09-23,59.479481,61.376377,58.568569,60.470470,60.470470,8535656
2004-09-24,60.530533,62.112110,59.939941,59.974976,59.974976,9123467
2004-09-27,59.839840,60.500500,58.958958,59.189190,59.189190,7066127
2004-09-28,60.710712,63.763763,60.165165,63.493492,63.493492,16929054
2004-09-29,63.413414,67.577576,63.178177,65.605606,65.605606,30516453
2004-09-30,65.015015,66.216217,64.564568,64.864868,64.864868,13758028
2004-10-01,65.465462,67.187187,64.514519,66.356354,66.356354,15124860
2004-10-04,67.692696,68.503502,67.082085,67.597595,67.597595,13022764
2004-10-05,67.397400,69.334335,66.186188,69.254257,69.254257,14973212
2004-10-06,68.843842,69.294296,68.068069,68.608612,68.608612,13381405
2004-10-07,68.528526,70.010010,68.343346,69.494492,69.494492,14115071
2004-10-08,69.429428,69.909912,68.578583,68.933937,68.933937,11069519
2004-10-11,68.568565,69.499496,66.991989,67.697701,67.697701,10472117
2004-10-12,67.287285,68.873871,66.766769,68.768768,68.768768,11665523
2004-10-13,71.731735,71.846848,70.110107,70.520523,70.520523,19766214
2004-10-14,70.575577,71.261261,69.349350,71.071068,71.071068,10442147
2004-10-15,72.537537,72.822823,71.046043,72.127129,72.127129,13194792
2004-10-18,71.671669,74.674675,70.675674,74.654655,74.654655,14036350
2004-10-19,75.325325,76.276276,73.748749,74.044044,74.044044,18109872
2004-10-20,74.089088,74.569572,69.869873,70.315315,70.315315,22722655
2004-10-21,72.272270,75.140137,70.880882,74.764763,74.764763,29149821
2004-10-22,85.355354,90.175179,82.122124,86.301300,86.301300,73710016
2004-10-25,88.288284,97.312309,86.361359,93.793793,93.793793,65462872
2004-10-26,93.263260,96.416412,90.090088,90.990990,90.990990,44569586
